原字,类型,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
དགྲིན,藏文字符,ད,,ག,ྲ,,ི,ན,
དགྲིབ,藏文字符,ད,,ག,ྲ,,ི,བ,
དགྲིམ,藏文字符,ད,,ག,ྲ,,ི,མ,
དགྲིར,藏文字符,ད,,ག,ྲ,,ི,ར,
དགྲིལ,藏文字符,ད,,ག,ྲ,,ི,ལ,
དགྲིས,藏文字符,ད,,ག,ྲ,,ི,ས,
དགྲུག,藏文字符,ད,,ག,ྲ,,ུ,ག,
དགྲུང,藏文字符,ད,,ག,ྲ,,ུ,ང,
དགྲུད,藏文字符,ད,,ག,ྲ,,ུ,ད,
དགྲུན,藏文字符,ད,,ག,ྲ,,ུ,ན,
དགྲུབ,藏文字符,ད,,ག,ྲ,,ུ,བ,
དགྲུམ,藏文字符,ད,,ག,ྲ,,ུ,མ,
དགྲུར,藏文字符,ད,,ག,ྲ,,ུ,ར,
དགྲུལ,藏文字符,ད,,ག,ྲ,,ུ,ལ,
དགྲུས,藏文字符,ད,,ག,ྲ,,ུ,ས,
དགྲེག,藏文字符,ད,,ག,ྲ,,ེ,ག,
དགྲེང,藏文字符,ད,,ག,ྲ,,ེ,ང,
དགྲེད,藏文字符,ད,,ག,ྲ,,ེ,ད,
དགྲེན,藏文字符,ད,,ག,ྲ,,ེ,ན,
དགྲེབ,藏文字符,ད,,ག,ྲ,,ེ,བ,
དགྲེམ,藏文字符,ད,,ག,ྲ,,ེ,མ,
དགྲེར,藏文字符,ད,,ག,ྲ,,ེ,ར,
དགྲེལ,藏文字符,ད,,ག,ྲ,,ེ,ལ,
དགྲེས,藏文字符,ད,,ག,ྲ,,ེ,ས,
དགྲོག,藏文字符,ད,,ག,ྲ,,ོ,ག,
དགྲོང,藏文字符,ད,,ག,ྲ,,ོ,ང,
དགྲོད,藏文字符,ད,,ག,ྲ,,ོ,ད,
དགྲོན,藏文字符,ད,,ག,ྲ,,ོ,ན,
དགྲོབ,藏文字符,ད,,ག,ྲ,,ོ,བ,
དགྲོམ,藏文字符,ད,,ག,ྲ,,ོ,མ,
དགྲོར,藏文字符,ད,,ག,ྲ,,ོ,ར,
དགྲོལ,藏文字符,ད,,ག,ྲ,,ོ,ལ,
དགྲོས,藏文字符,ད,,ག,ྲ,,ོ,ས,
དཔྲག,藏文字符,ད,,པ,ྲ,,,ག,
དཔྲང,藏文字符,ད,,པ,ྲ,,,ང,
དཔྲད,藏文字符,ད,,པ,ྲ,,,ད,
དཔྲན,藏文字符,ད,,པ,ྲ,,,ན,
དཔྲབ,藏文字符,ད,,པ,ྲ,,,བ,
དཔྲམ,藏文字符,ད,,པ,ྲ,,,མ,
དཔྲར,藏文字符,ད,,པ,ྲ,,,ར,
དཔྲལ,藏文字符,ད,,པ,ྲ,,,ལ,
དཔྲས,藏文字符,ད,,པ,ྲ,,,ས,
དཔྲིག,藏文字符,ད,,པ,ྲ,,ི,ག,
དཔྲིང,藏文字符,ད,,པ,ྲ,,ི,ང,
དཔྲིད,藏文字符,ད,,པ,ྲ,,ི,ད,
དཔྲིན,藏文字符,ད,,པ,ྲ,,ི,ན,
དཔྲིབ,藏文字符,ད,,པ,ྲ,,ི,བ,
དཔྲིམ,藏文字符,ད,,པ,ྲ,,ི,མ,
དཔྲིར,藏文字符,ད,,པ,ྲ,,ི,ར,
དཔྲིལ,藏文字符,ད,,པ,ྲ,,ི,ལ,
དཔྲིས,藏文字符,ད,,པ,ྲ,,ི,ས,
དཔྲུག,藏文字符,ད,,པ,ྲ,,ུ,ག,
དཔྲུང,藏文字符,ད,,པ,ྲ,,ུ,ང,
དཔྲུད,藏文字符,ད,,པ,ྲ,,ུ,ད,
དཔྲུན,藏文字符,ད,,པ,ྲ,,ུ,ན,
དཔྲུབ,藏文字符,ད,,པ,ྲ,,ུ,བ,
དཔྲུམ,藏文字符,ད,,པ,ྲ,,ུ,མ,
དཔྲུར,藏文字符,ད,,པ,ྲ,,ུ,ར,
དཔྲུལ,藏文字符,ད,,པ,ྲ,,ུ,ལ,
དཔྲུས,藏文字符,ད,,པ,ྲ,,ུ,ས,
དཔྲེག,藏文字符,ད,,པ,ྲ,,ེ,ག,
དཔྲེང,藏文字符,ད,,པ,ྲ,,ེ,ང,
དཔྲེད,藏文字符,ད,,པ,ྲ,,ེ,ད,
དཔྲེན,藏文字符,ད,,པ,ྲ,,ེ,ན,
དཔྲེབ,藏文字符,ད,,པ,ྲ,,ེ,བ,
དཔྲེམ,藏文字符,ད,,པ,ྲ,,ེ,མ,
དཔྲེར,藏文字符,ད,,པ,ྲ,,ེ,ར,
དཔྲེལ,藏文字符,ད,,པ,ྲ,,ེ,ལ,
དཔྲེས,藏文字符,ད,,པ,ྲ,,ེ,ས,
དཔྲོག,藏文字符,ད,,པ,ྲ,,ོ,ག,
དཔྲོང,藏文字符,ད,,པ,ྲ,,ོ,ང,
དཔྲོད,藏文字符,ད,,པ,ྲ,,ོ,ད,
དཔྲོན,藏文字符,ད,,པ,ྲ,,ོ,ན,
དཔྲོབ,藏文字符,ད,,པ,ྲ,,ོ,བ,
དཔྲོམ,藏文字符,ད,,པ,ྲ,,ོ,མ,
དཔྲོར,藏文字符,ད,,པ,ྲ,,ོ,ར,
དཔྲོལ,藏文字符,ད,,པ,ྲ,,ོ,ལ,
དཔྲོས,藏文字符,ད,,པ,ྲ,,ོ,ས,
དབྲག,藏文字符,ད,,བ,ྲ,,,ག,
དབྲང,藏文字符,ད,,བ,ྲ,,,ང,
དབྲད,藏文字符,ད,,བ,ྲ,,,ད,
དབྲན,藏文字符,ད,,བ,ྲ,,,ན,
དབྲབ,藏文字符,ད,,བ,ྲ,,,བ,
དབྲམ,藏文字符,ད,,བ,ྲ,,,མ,
དབྲར,藏文字符,ད,,བ,ྲ,,,ར,
དབྲལ,藏文字符,ད,,བ,ྲ,,,ལ,
དབྲས,藏文字符,ད,,བ,ྲ,,,ས,
དབྲིག,藏文字符,ད,,བ,ྲ,,ི,ག,
དབྲིང,藏文字符,ད,,བ,ྲ,,ི,ང,
དབྲིད,藏文字符,ད,,བ,ྲ,,ི,ད,
དབྲིན,藏文字符,ད,,བ,ྲ,,ི,ན,
དབྲིབ,藏文字符,ད,,བ,ྲ,,ི,བ,
དབྲིམ,藏文字符,ད,,བ,ྲ,,ི,མ,
དབྲིར,藏文字符,ད,,བ,ྲ,,ི,ར,
དབྲིལ,藏文字符,ད,,བ,ྲ,,ི,ལ,
དབྲིས,藏文字符,ད,,བ,ྲ,,ི,ས,
དབྲུག,藏文字符,ད,,བ,ྲ,,ུ,ག,
དབྲུང,藏文字符,ད,,བ,ྲ,,ུ,ང,
དབྲུད,藏文字符,ད,,བ,ྲ,,ུ,ད,
དབྲུན,藏文字符,ད,,བ,ྲ,,ུ,ན,
དབྲུབ,藏文字符,ད,,བ,ྲ,,ུ,བ,
དབྲུམ,藏文字符,ད,,བ,ྲ,,ུ,མ,
དབྲུར,藏文字符,ད,,བ,ྲ,,ུ,ར,
དབྲུལ,藏文字符,ད,,བ,ྲ,,ུ,ལ,
དབྲུས,藏文字符,ད,,བ,ྲ,,ུ,ས,
དབྲེག,藏文字符,ད,,བ,ྲ,,ེ,ག,
དབྲེང,藏文字符,ད,,བ,ྲ,,ེ,ང,
དབྲེད,藏文字符,ད,,བ,ྲ,,ེ,ད,
དབྲེན,藏文字符,ད,,བ,ྲ,,ེ,ན,
དབྲེབ,藏文字符,ད,,བ,ྲ,,ེ,བ,
དབྲེམ,藏文字符,ད,,བ,ྲ,,ེ,མ,
དབྲེར,藏文字符,ད,,བ,ྲ,,ེ,ར,
དབྲེལ,藏文字符,ད,,བ,ྲ,,ེ,ལ,
དབྲེས,藏文字符,ད,,བ,ྲ,,ེ,ས,
དབྲོག,藏文字符,ད,,བ,ྲ,,ོ,ག,
དབྲོང,藏文字符,ད,,བ,ྲ,,ོ,ང,
དབྲོད,藏文字符,ད,,བ,ྲ,,ོ,ད,
དབྲོན,藏文字符,ད,,བ,ྲ,,ོ,ན,
དབྲོབ,藏文字符,ད,,བ,ྲ,,ོ,བ,
དབྲོམ,藏文字符,ད,,བ,ྲ,,ོ,མ,
དབྲོར,藏文字符,ད,,བ,ྲ,,ོ,ར,
དབྲོལ,藏文字符,ད,,བ,ྲ,,ོ,ལ,
དབྲོས,藏文字符,ད,,བ,ྲ,,ོ,ས,
བཀྲག,藏文字符,བ,,ཀ,ྲ,,,ག,
བཀྲང,藏文字符,བ,,ཀ,ྲ,,,ང,
བཀྲད,藏文字符,བ,,ཀ,ྲ,,,ད,
བཀྲན,藏文字符,བ,,ཀ,ྲ,,,ན,
བཀྲབ,藏文字符,བ,,ཀ,ྲ,,,བ,
བཀྲམ,藏文字符,བ,,ཀ,ྲ,,,མ,
བཀྲར,藏文字符,བ,,ཀ,ྲ,,,ར,
བཀྲལ,藏文字符,བ,,ཀ,ྲ,,,ལ,
བཀྲས,藏文字符,བ,,ཀ,ྲ,,,ས,
བཀྲིག,藏文字符,བ,,ཀ,ྲ,,ི,ག,
བཀྲིང,藏文字符,བ,,ཀ,ྲ,,ི,ང,
བཀྲིད,藏文字符,བ,,ཀ,ྲ,,ི,ད,
བཀྲིན,藏文字符,བ,,ཀ,ྲ,,ི,ན,
བཀྲིབ,藏文字符,བ,,ཀ,ྲ,,ི,བ,
བཀྲིམ,藏文字符,བ,,ཀ,ྲ,,ི,མ,
བཀྲིར,藏文字符,བ,,ཀ,ྲ,,ི,ར,
བཀྲིལ,藏文字符,བ,,ཀ,ྲ,,ི,ལ,
བཀྲིས,藏文字符,བ,,ཀ,ྲ,,ི,ས,
བཀྲུག,藏文字符,བ,,ཀ,ྲ,,ུ,ག,
བཀྲུང,藏文字符,བ,,ཀ,ྲ,,ུ,ང,
བཀྲུད,藏文字符,བ,,ཀ,ྲ,,ུ,ད,
བཀྲུན,藏文字符,བ,,ཀ,ྲ,,ུ,ན,
བཀྲུབ,藏文字符,བ,,ཀ,ྲ,,ུ,བ,
བཀྲུམ,藏文字符,བ,,ཀ,ྲ,,ུ,མ,
བཀྲུར,藏文字符,བ,,ཀ,ྲ,,ུ,ར,
བཀྲུལ,藏文字符,བ,,ཀ,ྲ,,ུ,ལ,
བཀྲུས,藏文字符,བ,,ཀ,ྲ,,ུ,ས,
བཀྲེག,藏文字符,བ,,ཀ,ྲ,,ེ,ག,
བཀྲེང,藏文字符,བ,,ཀ,ྲ,,ེ,ང,
བཀྲེད,藏文字符,བ,,ཀ,ྲ,,ེ,ད,
བཀྲེན,藏文字符,བ,,ཀ,ྲ,,ེ,ན,
བཀྲེབ,藏文字符,བ,,ཀ,ྲ,,ེ,བ,
བཀྲེམ,藏文字符,བ,,ཀ,ྲ,,ེ,མ,
བཀྲེར,藏文字符,བ,,ཀ,ྲ,,ེ,ར,
བཀྲེལ,藏文字符,བ,,ཀ,ྲ,,ེ,ལ,
བཀྲེས,藏文字符,བ,,ཀ,ྲ,,ེ,ས,
བཀྲོག,藏文字符,བ,,ཀ,ྲ,,ོ,ག,
བཀྲོང,藏文字符,བ,,ཀ,ྲ,,ོ,ང,
བཀྲོད,藏文字符,བ,,ཀ,ྲ,,ོ,ད,
བཀྲོན,藏文字符,བ,,ཀ,ྲ,,ོ,ན,
བཀྲོབ,藏文字符,བ,,ཀ,ྲ,,ོ,བ,
བཀྲོམ,藏文字符,བ,,ཀ,ྲ,,ོ,མ,
བཀྲོར,藏文字符,བ,,ཀ,ྲ,,ོ,ར,
བཀྲོལ,藏文字符,བ,,ཀ,ྲ,,ོ,ལ,
བཀྲོས,藏文字符,བ,,ཀ,ྲ,,ོ,ས,
བགྲག,藏文字符,བ,,ག,ྲ,,,ག,
བགྲང,藏文字符,བ,,ག,ྲ,,,ང,
བགྲད,藏文字符,བ,,ག,ྲ,,,ད,
བགྲན,藏文字符,བ,,ག,ྲ,,,ན,
བགྲབ,藏文字符,བ,,ག,ྲ,,,བ,
བགྲམ,藏文字符,བ,,ག,ྲ,,,མ,
བགྲར,藏文字符,བ,,ག,ྲ,,,ར,
བགྲལ,藏文字符,བ,,ག,ྲ,,,ལ,
བགྲས,藏文字符,བ,,ག,ྲ,,,ས,
བགྲིག,藏文字符,བ,,ག,ྲ,,ི,ག,
བགྲིང,藏文字符,བ,,ག,ྲ,,ི,ང,
བགྲིད,藏文字符,བ,,ག,ྲ,,ི,ད,
བགྲིན,藏文字符,བ,,ག,ྲ,,ི,ན,
བགྲིབ,藏文字符,བ,,ག,ྲ,,ི,བ,
བགྲིམ,藏文字符,བ,,ག,ྲ,,ི,མ,
བགྲིར,藏文字符,བ,,ག,ྲ,,ི,ར,
བགྲིལ,藏文字符,བ,,ག,ྲ,,ི,ལ,
བགྲིས,藏文字符,བ,,ག,ྲ,,ི,ས,
བགྲུག,藏文字符,བ,,ག,ྲ,,ུ,ག,
བགྲུང,藏文字符,བ,,ག,ྲ,,ུ,ང,
བགྲུད,藏文字符,བ,,ག,ྲ,,ུ,ད,
བགྲུན,藏文字符,བ,,ག,ྲ,,ུ,ན,
བགྲུབ,藏文字符,བ,,ག,ྲ,,ུ,བ,
བགྲུམ,藏文字符,བ,,ག,ྲ,,ུ,མ,
བགྲུར,藏文字符,བ,,ག,ྲ,,ུ,ར,
བགྲུལ,藏文字符,བ,,ག,ྲ,,ུ,ལ,
བགྲུས,藏文字符,བ,,ག,ྲ,,ུ,ས,
བགྲེག,藏文字符,བ,,ག,ྲ,,ེ,ག,
བགྲེང,藏文字符,བ,,ག,ྲ,,ེ,ང,
བགྲེད,藏文字符,བ,,ག,ྲ,,ེ,ད,
བགྲེན,藏文字符,བ,,ག,ྲ,,ེ,ན,
བགྲེབ,藏文字符,བ,,ག,ྲ,,ེ,བ,
བགྲེམ,藏文字符,བ,,ག,ྲ,,ེ,མ,
བགྲེར,藏文字符,བ,,ག,ྲ,,ེ,ར,
བགྲེལ,藏文字符,བ,,ག,ྲ,,ེ,ལ,
བགྲེས,藏文字符,བ,,ག,ྲ,,ེ,ས,
བགྲོག,藏文字符,བ,,ག,ྲ,,ོ,ག,
བགྲོང,藏文字符,བ,,ག,ྲ,,ོ,ང,
བགྲོད,藏文字符,བ,,ག,ྲ,,ོ,ད,
བགྲོན,藏文字符,བ,,ག,ྲ,,ོ,ན,
བགྲོབ,藏文字符,བ,,ག,ྲ,,ོ,བ,
བགྲོམ,藏文字符,བ,,ག,ྲ,,ོ,མ,
བགྲོར,藏文字符,བ,,ག,ྲ,,ོ,ར,
བགྲོལ,藏文字符,བ,,ག,ྲ,,ོ,ལ,
བགྲོས,藏文字符,བ,,ག,ྲ,,ོ,ས,
བསྲག,藏文字符,བ,,ས,ྲ,,,ག,
བསྲང,藏文字符,བ,,ས,ྲ,,,ང,
བསྲད,藏文字符,བ,,ས,ྲ,,,ད,
བསྲན,藏文字符,བ,,ས,ྲ,,,ན,
བསྲབ,藏文字符,བ,,ས,ྲ,,,བ,
བསྲམ,藏文字符,བ,,ས,ྲ,,,མ,
བསྲར,藏文字符,བ,,ས,ྲ,,,ར,
བསྲལ,藏文字符,བ,,ས,ྲ,,,ལ,
བསྲས,藏文字符,བ,,ས,ྲ,,,ས,
བསྲིག,藏文字符,བ,,ས,ྲ,,ི,ག,
བསྲིང,藏文字符,བ,,ས,ྲ,,ི,ང,
བསྲིད,藏文字符,བ,,ས,ྲ,,ི,ད,
བསྲིན,藏文字符,བ,,ས,ྲ,,ི,ན,
བསྲིབ,藏文字符,བ,,ས,ྲ,,ི,བ,
བསྲིམ,藏文字符,བ,,ས,ྲ,,ི,མ,
བསྲིར,藏文字符,བ,,ས,ྲ,,ི,ར,
བསྲིལ,藏文字符,བ,,ས,ྲ,,ི,ལ,
བསྲིས,藏文字符,བ,,ས,ྲ,,ི,ས,
བསྲུག,藏文字符,བ,,ས,ྲ,,ུ,ག,
བསྲུང,藏文字符,བ,,ས,ྲ,,ུ,ང,
བསྲུད,藏文字符,བ,,ས,ྲ,,ུ,ད,
བསྲུན,藏文字符,བ,,ས,ྲ,,ུ,ན,
བསྲུབ,藏文字符,བ,,ས,ྲ,,ུ,བ,
བསྲུམ,藏文字符,བ,,ས,ྲ,,ུ,མ,
བསྲུར,藏文字符,བ,,ས,ྲ,,ུ,ར,
བསྲུལ,藏文字符,བ,,ས,ྲ,,ུ,ལ,
བསྲུས,藏文字符,བ,,ས,ྲ,,ུ,ས,
བསྲེག,藏文字符,བ,,ས,ྲ,,ེ,ག,
བསྲེང,藏文字符,བ,,ས,ྲ,,ེ,ང,
བསྲེད,藏文字符,བ,,ས,ྲ,,ེ,ད,
བསྲེན,藏文字符,བ,,ས,ྲ,,ེ,ན,
བསྲེབ,藏文字符,བ,,ས,ྲ,,ེ,བ,
བསྲེམ,藏文字符,བ,,ས,ྲ,,ེ,མ,
བསྲེར,藏文字符,བ,,ས,ྲ,,ེ,ར,
བསྲེལ,藏文字符,བ,,ས,ྲ,,ེ,ལ,
བསྲེས,藏文字符,བ,,ས,ྲ,,ེ,ས,
བསྲོག,藏文字符,བ,,ས,ྲ,,ོ,ག,
བསྲོང,藏文字符,བ,,ས,ྲ,,ོ,ང,
བསྲོད,藏文字符,བ,,ས,ྲ,,ོ,ད,
བསྲོན,藏文字符,བ,,ས,ྲ,,ོ,ན,
བསྲོབ,藏文字符,བ,,ས,ྲ,,ོ,བ,
བསྲོམ,藏文字符,བ,,ས,ྲ,,ོ,མ,
བསྲོར,藏文字符,བ,,ས,ྲ,,ོ,ར,
བསྲོལ,藏文字符,བ,,ས,ྲ,,ོ,ལ,
བསྲོས,藏文字符,བ,,ས,ྲ,,ོ,ས,
བཀླག,藏文字符,བ,,ཀ,ླ,,,ག,
བཀླང,藏文字符,བ,,ཀ,ླ,,,ང,
བཀླད,藏文字符,བ,,ཀ,ླ,,,ད,
བཀླན,藏文字符,བ,,ཀ,ླ,,,ན,
བཀླབ,藏文字符,བ,,ཀ,ླ,,,བ,
བཀླམ,藏文字符,བ,,ཀ,ླ,,,མ,
བཀླར,藏文字符,བ,,ཀ,ླ,,,ར,
བཀླལ,藏文字符,བ,,ཀ,ླ,,,ལ,
བཀླས,藏文字符,བ,,ཀ,ླ,,,ས,
བཀླིག,藏文字符,བ,,ཀ,ླ,,ི,ག,
བཀླིང,藏文字符,བ,,ཀ,ླ,,ི,ང,
བཀླིད,藏文字符,བ,,ཀ,ླ,,ི,ད,
བཀླིན,藏文字符,བ,,ཀ,ླ,,ི,ན,
བཀླིབ,藏文字符,བ,,ཀ,ླ,,ི,བ,
བཀླིམ,藏文字符,བ,,ཀ,ླ,,ི,མ,
བཀླིར,藏文字符,བ,,ཀ,ླ,,ི,ར,
བཀླིལ,藏文字符,བ,,ཀ,ླ,,ི,ལ,
བཀླིས,藏文字符,བ,,ཀ,ླ,,ི,ས,
བཀླུག,藏文字符,བ,,ཀ,ླ,,ུ,ག,
བཀླུང,藏文字符,བ,,ཀ,ླ,,ུ,ང,
བཀླུད,藏文字符,བ,,ཀ,ླ,,ུ,ད,
བཀླུན,藏文字符,བ,,ཀ,ླ,,ུ,ན,
བཀླུབ,藏文字符,བ,,ཀ,ླ,,ུ,བ,
བཀླུམ,藏文字符,བ,,ཀ,ླ,,ུ,མ,
བཀླུར,藏文字符,བ,,ཀ,ླ,,ུ,ར,
བཀླུལ,藏文字符,བ,,ཀ,ླ,,ུ,ལ,
བཀླུས,藏文字符,བ,,ཀ,ླ,,ུ,ས,
བཀླེག,藏文字符,བ,,ཀ,ླ,,ེ,ག,
བཀླེང,藏文字符,བ,,ཀ,ླ,,ེ,ང,
བཀླེད,藏文字符,བ,,ཀ,ླ,,ེ,ད,
བཀླེན,藏文字符,བ,,ཀ,ླ,,ེ,ན,
བཀླེབ,藏文字符,བ,,ཀ,ླ,,ེ,བ,
བཀླེམ,藏文字符,བ,,ཀ,ླ,,ེ,མ,
བཀླེར,藏文字符,བ,,ཀ,ླ,,ེ,ར,
བཀླེལ,藏文字符,བ,,ཀ,ླ,,ེ,ལ,
བཀླེས,藏文字符,བ,,ཀ,ླ,,ེ,ས,
བཀློག,藏文字符,བ,,ཀ,ླ,,ོ,ག,
བཀློང,藏文字符,བ,,ཀ,ླ,,ོ,ང,
བཀློད,藏文字符,བ,,ཀ,ླ,,ོ,ད,
བཀློན,藏文字符,བ,,ཀ,ླ,,ོ,ན,
བཀློབ,藏文字符,བ,,ཀ,ླ,,ོ,བ,
བཀློམ,藏文字符,བ,,ཀ,ླ,,ོ,མ,
བཀློར,藏文字符,བ,,ཀ,ླ,,ོ,ར,
བཀློལ,藏文字符,བ,,ཀ,ླ,,ོ,ལ,
བཀློས,藏文字符,བ,,ཀ,ླ,,ོ,ས,
བཟླག,藏文字符,བ,,ཟ,ླ,,,ག,
བཟླང,藏文字符,བ,,ཟ,ླ,,,ང,
བཟླད,藏文字符,བ,,ཟ,ླ,,,ད,
བཟླན,藏文字符,བ,,ཟ,ླ,,,ན,
བཟླབ,藏文字符,བ,,ཟ,ླ,,,བ,
བཟླམ,藏文字符,བ,,ཟ,ླ,,,མ,
བཟླར,藏文字符,བ,,ཟ,ླ,,,ར,
བཟླལ,藏文字符,བ,,ཟ,ླ,,,ལ,
བཟླས,藏文字符,བ,,ཟ,ླ,,,ས,
བཟླིག,藏文字符,བ,,ཟ,ླ,,ི,ག,
བཟླིང,藏文字符,བ,,ཟ,ླ,,ི,ང,
བཟླིད,藏文字符,བ,,ཟ,ླ,,ི,ད,
བཟླིན,藏文字符,བ,,ཟ,ླ,,ི,ན,
བཟླིབ,藏文字符,བ,,ཟ,ླ,,ི,བ,
བཟླིམ,藏文字符,བ,,ཟ,ླ,,ི,མ,
བཟླིར,藏文字符,བ,,ཟ,ླ,,ི,ར,
བཟླིལ,藏文字符,བ,,ཟ,ླ,,ི,ལ,
བཟླིས,藏文字符,བ,,ཟ,ླ,,ི,ས,
བཟླུག,藏文字符,བ,,ཟ,ླ,,ུ,ག,
བཟླུང,藏文字符,བ,,ཟ,ླ,,ུ,ང,
བཟླུད,藏文字符,བ,,ཟ,ླ,,ུ,ད,
བཟླུན,藏文字符,བ,,ཟ,ླ,,ུ,ན,
བཟླུབ,藏文字符,བ,,ཟ,ླ,,ུ,བ,
བཟླུམ,藏文字符,བ,,ཟ,ླ,,ུ,མ,
བཟླུར,藏文字符,བ,,ཟ,ླ,,ུ,ར,
བཟླུལ,藏文字符,བ,,ཟ,ླ,,ུ,ལ,
བཟླུས,藏文字符,བ,,ཟ,ླ,,ུ,ས,
བཟླེག,藏文字符,བ,,ཟ,ླ,,ེ,ག,
བཟླེང,藏文字符,བ,,ཟ,ླ,,ེ,ང,
བཟླེད,藏文字符,བ,,ཟ,ླ,,ེ,ད,
བཟླེན,藏文字符,བ,,ཟ,ླ,,ེ,ན,
བཟླེབ,藏文字符,བ,,ཟ,ླ,,ེ,བ,
བཟླེམ,藏文字符,བ,,ཟ,ླ,,ེ,མ,
བཟླེར,藏文字符,བ,,ཟ,ླ,,ེ,ར,
བཟླེལ,藏文字符,བ,,ཟ,ླ,,ེ,ལ,
བཟླེས,藏文字符,བ,,ཟ,ླ,,ེ,ས,
བཟློག,藏文字符,བ,,ཟ,ླ,,ོ,ག,
བཟློང,藏文字符,བ,,ཟ,ླ,,ོ,ང,
བཟློད,藏文字符,བ,,ཟ,ླ,,ོ,ད,
བཟློན,藏文字符,བ,,ཟ,ླ,,ོ,ན,
བཟློབ,藏文字符,བ,,ཟ,ླ,,ོ,བ,
བཟློམ,藏文字符,བ,,ཟ,ླ,,ོ,མ,
བཟློར,藏文字符,བ,,ཟ,ླ,,ོ,ར,
བཟློལ,藏文字符,བ,,ཟ,ླ,,ོ,ལ,
བཟློས,藏文字符,བ,,ཟ,ླ,,ོ,ས,
བརླག,藏文字符,བ,,ར,ླ,,,ག,
བརླང,藏文字符,བ,,ར,ླ,,,ང,
བརླད,藏文字符,བ,,ར,ླ,,,ད,
བརླན,藏文字符,བ,,ར,ླ,,,ན,
བརླབ,藏文字符,བ,,ར,ླ,,,བ,
བརླམ,藏文字符,བ,,ར,ླ,,,མ,
བརླར,藏文字符,བ,,ར,ླ,,,ར,
བརླལ,藏文字符,བ,,ར,ླ,,,ལ,
བརླས,藏文字符,བ,,ར,ླ,,,ས,
བརླིག,藏文字符,བ,,ར,ླ,,ི,ག,
བརླིང,藏文字符,བ,,ར,ླ,,ི,ང,
བརླིད,藏文字符,བ,,ར,ླ,,ི,ད,
བརླིན,藏文字符,བ,,ར,ླ,,ི,ན,
བརླིབ,藏文字符,བ,,ར,ླ,,ི,བ,
བརླིམ,藏文字符,བ,,ར,ླ,,ི,མ,
བརླིར,藏文字符,བ,,ར,ླ,,ི,ར,
བརླིལ,藏文字符,བ,,ར,ླ,,ི,ལ,
བརླིས,藏文字符,བ,,ར,ླ,,ི,ས,
བརླུག,藏文字符,བ,,ར,ླ,,ུ,ག,
བརླུང,藏文字符,བ,,ར,ླ,,ུ,ང,
བརླུད,藏文字符,བ,,ར,ླ,,ུ,ད,
བརླུན,藏文字符,བ,,ར,ླ,,ུ,ན,
བརླུབ,藏文字符,བ,,ར,ླ,,ུ,བ,
བརླུམ,藏文字符,བ,,ར,ླ,,ུ,མ,
བརླུར,藏文字符,བ,,ར,ླ,,ུ,ར,
བརླུལ,藏文字符,བ,,ར,ླ,,ུ,ལ,
བརླུས,藏文字符,བ,,ར,ླ,,ུ,ས,
བརླེག,藏文字符,བ,,ར,ླ,,ེ,ག,
བརླེང,藏文字符,བ,,ར,ླ,,ེ,ང,
བརླེད,藏文字符,བ,,ར,ླ,,ེ,ད,
བརླེན,藏文字符,བ,,ར,ླ,,ེ,ན,
བརླེབ,藏文字符,བ,,ར,ླ,,ེ,བ,
བརླེམ,藏文字符,བ,,ར,ླ,,ེ,མ,
བརླེར,藏文字符,བ,,ར,ླ,,ེ,ར,
བརླེལ,藏文字符,བ,,ར,ླ,,ེ,ལ,
བརླེས,藏文字符,བ,,ར,ླ,,ེ,ས,
བརློག,藏文字符,བ,,ར,ླ,,ོ,ག,
བརློང,藏文字符,བ,,ར,ླ,,ོ,ང,
བརློད,藏文字符,བ,,ར,ླ,,ོ,ད,
བརློན,藏文字符,བ,,ར,ླ,,ོ,ན,
བརློབ,藏文字符,བ,,ར,ླ,,ོ,བ,
བརློམ,藏文字符,བ,,ར,ླ,,ོ,མ,
བརློར,藏文字符,བ,,ར,ླ,,ོ,ར,
བརློལ,藏文字符,བ,,ར,ླ,,ོ,ལ,
བརློས,藏文字符,བ,,ར,ླ,,ོ,ས,
བསླག,藏文字符,བ,,ས,ླ,,,ག,
བསླང,藏文字符,བ,,ས,ླ,,,ང,
བསླད,藏文字符,བ,,ས,ླ,,,ད,
བསླན,藏文字符,བ,,ས,ླ,,,ན,
བསླབ,藏文字符,བ,,ས,ླ,,,བ,
བསླམ,藏文字符,བ,,ས,ླ,,,མ,
བསླར,藏文字符,བ,,ས,ླ,,,ར,
བསླལ,藏文字符,བ,,ས,ླ,,,ལ,
བསླས,藏文字符,བ,,ས,ླ,,,ས,
བསླིག,藏文字符,བ,,ས,ླ,,ི,ག,
བསླིང,藏文字符,བ,,ས,ླ,,ི,ང,
བསླིད,藏文字符,བ,,ས,ླ,,ི,ད,
བསླིན,藏文字符,བ,,ས,ླ,,ི,ན,
བསླིབ,藏文字符,བ,,ས,ླ,,ི,བ,
བསླིམ,藏文字符,བ,,ས,ླ,,ི,མ,
བསླིར,藏文字符,བ,,ས,ླ,,ི,ར,
བསླིལ,藏文字符,བ,,ས,ླ,,ི,ལ,
བསླིས,藏文字符,བ,,ས,ླ,,ི,ས,
བསླུག,藏文字符,བ,,ས,ླ,,ུ,ག,
བསླུང,藏文字符,བ,,ས,ླ,,ུ,ང,
བསླུད,藏文字符,བ,,ས,ླ,,ུ,ད,
